task_id,title,description,priority,status,phase,estimated_effort,dependencies,branch_name,pr_template,test_file,notes
TASK-20251008-001,"Initialize Git Repository","Initialize git repository for AI-docs system. Run git init and create initial commit with all existing files. This is critical infrastructure that blocks all git-based workflows.",critical,completed,phase-1,0.125,none,infrastructure/critical-setup-20251008,architecture.md,tests/test_git_setup_scaffold.sh,null
TASK-20251008-002,"Create tasks.csv File","Create tasks.csv with proper CSV header schema. This file is required by all task management commands and currently missing.",critical,completed,phase-1,0.062,TASK-20251008-001,infrastructure/critical-setup-20251008,architecture.md,tests/test_tasks_csv_scaffold.sh,null
TASK-20251008-003,"Add Input Validation Library","Create .claude/lib/input-validation.sh with validate_task_id(), sanitize_path(), and validate_workspace_dir() functions. Prevents command injection (CWE-78) vulnerabilities.",critical,completed,phase-1,0.375,TASK-20251008-001,infrastructure/critical-setup-20251008,security-fix.md,tests/test_input_validation_scaffold.sh,null
TASK-20251008-004,"Patch atomic-plan.md with Input Validation","Add input validation to atomic-plan.md command. Source validation library and call validate_task_id() before using TASK_ID in any commands. Fixes command injection vulnerability.",critical,completed,phase-1,0.094,TASK-20251008-003,infrastructure/critical-setup-20251008,security-fix.md,tests/test_input_validation_scaffold.sh,null
TASK-20251008-005,"Patch execute-task.md with Input Validation","Add input validation to execute-task.md command. Source validation library and call validate_task_id() before using TASK_ID. Prevents path traversal and command injection attacks.",critical,pending,phase-1,0.094,TASK-20251008-003,infrastructure/critical-setup-20251008,security-fix.md,tests/test_input_validation_scaffold.sh,null
TASK-20251008-006,"Harden Permissions in settings.local.json","Replace wildcard permissions (ssh:*, pip install:*, export:*) with whitelist-based specific command allowances. Add deny list for dangerous commands (rm, curl, sudo).",critical,pending,phase-1,0.062,none,infrastructure/critical-setup-20251008,security-fix.md,tests/test_permissions_scaffold.sh,null
TASK-20251008-007,"Create Root README.md","Create comprehensive README.md with installation instructions, quick start guide, architecture overview, and links to documentation. Critical for onboarding new users.",critical,pending,phase-1,0.25,TASK-20251008-001,infrastructure/critical-setup-20251008,architecture.md,null,null
TASK-20251008-008,"Implement Automated Workspace Cleanup","Create .claude/cron/workspace-cleanup.sh script that runs weekly via cron to clean up abandoned workspaces (>30 days old, <10% progress). Includes logging and optional email notifications.",high,pending,phase-2,0.375,TASK-20251008-001,operations/workspace-management-20251008,operations.md,tests/test_workspace_operations_scaffold.sh,null
TASK-20251008-009,"Archive Completed Workspace TASK-20250929-012","Run /archive-workspace TASK-20250929-012 to archive completed workspace (100% checklist completion). Moves to workspace/archive/ with timestamp and metadata.",high,pending,phase-2,0.062,TASK-20251008-001,operations/workspace-management-20251008,operations.md,tests/test_workspace_operations_scaffold.sh,null
TASK-20251008-010,"Resolve Duplicate Workspace Directories","Investigate duplicate workspaces in workspace/ and .claude/workspace/. Create symlink from workspace -> .claude/workspace for backward compatibility. Update documentation to clarify canonical location.",high,pending,phase-2,0.125,none,operations/workspace-management-20251008,operations.md,tests/test_workspace_operations_scaffold.sh,null
TASK-20251008-011,"Add Workspace Size Monitoring","Create .claude/lib/workspace-monitoring.sh with functions: get_workspace_size(), get_workspace_count(), check_workspace_limit(), get_oldest_workspace(). Integrate with atomic-plan.md to warn when limits approached.",high,pending,phase-2,0.25,none,operations/workspace-management-20251008,operations.md,tests/test_workspace_operations_scaffold.sh,null
TASK-20251008-012,"Extract Shared Workspace Functions","Create .claude/lib/workspace-functions.sh with get_workspace_dir(), get_workspace_file(), get_checklist_progress(), workspace_exists(). Refactor 12 files to use shared functions. Reduces 47 lines of code duplication.",medium,pending,phase-3,0.25,TASK-20251008-001,refactor/code-quality-20251008,refactoring.md,null,null
TASK-20251008-013,"Optimize Cleanup-Workspaces File I/O","Replace multiple grep calls with single awk command in cleanup-workspaces.md. Read each checklist file once instead of 3 times. Expected 40% performance improvement.",medium,pending,phase-3,0.25,TASK-20251008-012,refactor/code-quality-20251008,performance-optimization.md,tests/test_workspace_operations_scaffold.sh,null
TASK-20251008-014,"Split Dashboard Template into Modular Files","Extract CSS from dashboard.html (lines 7-277) to dashboard.css. Extract JavaScript (lines 396-442) to dashboard.js. Update HTML to use external links. Reduces template size by 68%.",medium,pending,phase-3,0.25,none,refactor/code-quality-20251008,refactoring.md,null,null
